e_id,position,salary,start_date,end_date,perf_score,status
41378877,director of pr,220898,2023-04-12,2024-04-11,95,active
41378877,director of pr,236361,2024-04-11,2025-04-11,90,active
41378877,director of pr,236361,2025-04-11,,92,active
41378877,,236361,2024-07-11,2024-07-19,97,sick leave
41376655,,,2020-03-26,2020-04-06,,paid leave
41376655,transportation manager,105000,2021-04-12,2022-04-12,100,active
41376655,transportation supervisor,105000,2022-04-12,2023-04-12,98,active
41376655,,,2022-04-25,2022-04-29,,sick leave
41376655,transportation supervisor,105000,2023-04-12,,96,active
41376655,,,2024-01-16,2024-03-28,,FMLA
41651199,senior network engineer,180000,2023-01-18,2024-01-18,80,active
41651199,CIO,180000,2024-01-18,2025-01-17,85,active
41651199,,,2024-05-13,2024-05-22,,paid leave
41651199,,,2024-07-22,2024-07-25,,sick leave
41651199,CIO,180000,2025-01-17,,50,active
41655533,process coordinator,170000,2023-01-18,2024-01-18,70,active
41655533,process improvement analyst,180000,2024-01-18,2025-01-17,75,active
41655533,process improvement analyst,185000,2025-01-17,2026-01-17,80,active
42223311,hr analytics,200000,2023-08-05,2024-08-04,83,active
42223311,hr analytics,200000,2024-08-04,2025-08-04,82,active
42223311,hr analytics,200000,2025-08-04,,85,active
42223311,,,2026-04-10,2026-04-27,83,paid leave
