t_id,vendor_username,buyer_username,prod_id,date_time,price,validated_by,status
1,umothersdale6n,umothersdale6n,469008,24/10/2013,594820000,41378877,rejected
2,drossonbl,drossonbl,318287,28/07/2013,136290000,41378877,pending
3,drossonbl,ztavnerc4,110645,17/05/2013,50850000,41378877,pending
4,rleeson26,umothersdale6n,888162,25/07/2013,85240000,41378877,rejected
5,mbrennen2e,rleeson26,778256,04/11/2013,171890000,41378877,completed
6,rshovelton9e,rleeson26,151879,13/11/2013,9360000,41378877,in_escrow
7,drossonbl,ztavnerc4,866740,10/02/2014,100890000,41378877,rejected
8,eosburni2,ztavnerc4,476093,22/02/2014,65290000,41378877,pending
9,sratledge2u,eosburni2,801246,01/03/2014,43580000,41378877,cancelled
10,rleeson26,rleeson26,335860,07/05/2014,11210000,41378877,pending
11,mciccettifq,rleeson26,460260,21/09/2014,513080000,41378877,cancelled
12,drossonbl,drossonbl,708283,16/10/2014,178630000,41378877,pending
13,drossonbl,rleeson26,687711,21/03/2015,27380000,41378877,in_escrow
14,rshovelton9e,rleeson26,289452,25/04/2015,70010000,42085670,cancelled
15,dcobden31,mciccettifq,959625,04/06/2015,91510000,42085670,completed
16,rleeson26,sratledge2u,192439,19/07/2015,119380000,41378877,rejected
17,rleeson26,mciccettifq,829580,03/09/2015,165020000,42085670,in_escrow
18,drossonbl,mciccettifq,124947,04/11/2015,129080000,41378877,completed
19,mciccettifq,rleeson26,661098,02/12/2015,567520000,42225432,rejected
20,rshovelton9e,rleeson26,866267,01/04/2016,200570000,41378877,rejected
21,drossonbl,umothersdale6n,459696,18/09/2016,22920000,42225432,cancelled
22,rleeson26,mciccettifq,451095,23/09/2016,102950000,42085670,cancelled
23,mciccettifq,rleeson26,127119,02/11/2016,430870000,42481098,rejected
24,mciccettifq,mciccettifq,878470,18/12/2016,533080000,41378877,pending
25,drossonbl,mciccettifq,906309,20/05/2017,109700000,42481098,pending
26,rleeson26,mciccettifq,309190,10/07/2017,1091400000,42225432,pending
27,rleeson26,umothersdale6n,634843,07/08/2017,38510000,42085670,rejected
28,rshovelton9e,rleeson26,861085,20/09/2017,15220000,41378877,completed
29,rshovelton9e,rleeson26,171067,18/12/2017,28980000,41378877,in_escrow
30,rleeson26,rleeson26,396273,25/02/2018,85330000,42085670,in_escrow
31,mciccettifq,sratledge2u,657839,03/05/2018,611900000,42481098,rejected
32,mciccettifq,sratledge2u,937695,27/08/2018,11830000,42085670,completed
33,rleeson26,mciccettifq,840652,04/09/2018,119740000,43066543,pending
34,rshovelton9e,eosburni2,457062,24/09/2018,23790000,41378877,pending
35,mbrennen2e,rleeson26,936520,25/09/2018,51170000,43066543,completed
36,umothersdale6n,rleeson26,212931,24/10/2018,56970000,41378877,pending
37,drossonbl,rleeson26,227930,20/12/2018,191840000,42481098,completed
38,rshovelton9e,rleeson26,507285,04/02/2019,78140000,41378877,rejected
39,drossonbl,sratledge2u,457715,28/02/2019,35390000,42225432,completed
40,dcobden31,drossonbl,208242,17/04/2019,72440000,42085670,completed
41,rshovelton9e,aedsall1o,866048,01/05/2019,9810000,42085670,completed
42,mciccettifq,umothersdale6n,506017,11/05/2019,34030000,42085670,pending
43,rshovelton9e,sratledge2u,865297,01/07/2019,55140000,41378877,cancelled
44,drossonbl,sratledge2u,417459,16/07/2019,129780000,42085670,rejected
45,rshovelton9e,mciccettifq,928450,05/08/2019,42860000,41378877,completed
46,drossonbl,mciccettifq,607313,04/09/2019,290740000,42481098,completed
47,drossonbl,drossonbl,369328,14/11/2019,30500000,42225432,rejected
48,umothersdale6n,drossonbl,981694,19/12/2019,65540000,42085670,completed
49,drossonbl,rleeson26,495794,22/12/2019,12890000,43066543,cancelled
50,dcobden31,dcobden31,800941,24/12/2019,56360000,42225432,rejected
51,sratledge2u,drossonbl,110345,03/01/2020,32720000,42085670,completed
52,mciccettifq,sratledge2u,335038,15/01/2020,99310000,42225432,completed
53,rleeson26,mciccettifq,120879,28/01/2020,79340000,42225432,in_escrow
54,drossonbl,umothersdale6n,253238,13/03/2020,64660000,42481098,completed
55,umothersdale6n,rleeson26,668236,07/04/2020,122880000,42225432,rejected
56,drossonbl,umothersdale6n,180812,08/04/2020,41280000,42085670,completed
57,rleeson26,drossonbl,821409,10/04/2020,91870000,42225432,rejected
58,rshovelton9e,mciccettifq,101751,19/04/2020,85850000,43066543,completed
59,dcobden31,dcobden31,788089,24/04/2020,245690000,42225432,pending
60,umothersdale6n,mciccettifq,799545,08/05/2020,99630000,42481098,in_escrow
61,mciccettifq,mciccettifq,131404,14/05/2020,112890000,42085670,in_escrow
62,mciccettifq,ztavnerc4,398941,25/06/2020,226470000,42481098,pending
63,rleeson26,mciccettifq,535322,04/07/2020,1920000,42481098,in_escrow
64,rleeson26,ztavnerc4,213897,24/07/2020,7470000,42225432,in_escrow
65,rshovelton9e,rleeson26,302560,03/09/2020,7950000,42085670,completed
66,mciccettifq,mciccettifq,294959,16/10/2020,41850000,42225432,completed
67,dcobden31,ztavnerc4,479417,11/11/2020,25560000,42085670,in_escrow
68,rleeson26,dcobden31,647010,14/11/2020,12280000,42225432,rejected
69,rshovelton9e,mciccettifq,938790,15/12/2020,27390000,43066543,pending
70,mciccettifq,rleeson26,163073,16/12/2020,99010000,42225432,in_escrow
71,sratledge2u,rleeson26,699283,25/12/2020,369500000,42085670,cancelled
72,drossonbl,mciccettifq,510195,02/01/2021,454710000,42085670,completed
73,drossonbl,ztavnerc4,939534,26/01/2021,7640000,42481098,pending
74,mciccettifq,mciccettifq,182438,13/02/2021,25610000,42481098,cancelled
75,rleeson26,drossonbl,671433,16/03/2021,41850000,42225432,completed
76,sratledge2u,ztavnerc4,549848,26/03/2021,82590000,42085670,cancelled
77,dcobden31,rleeson26,901308,06/04/2021,224410000,42085670,cancelled
78,rleeson26,aedsall1o,228268,15/05/2021,255520000,43066543,in_escrow
79,drossonbl,mciccettifq,145104,12/06/2021,17030000,42481098,rejected
80,rleeson26,rleeson26,151137,25/06/2021,35720000,42085670,completed
81,drossonbl,drossonbl,769831,26/06/2021,4954490000,42481098,completed
82,rleeson26,ztavnerc4,624785,13/07/2021,423700000,43066543,rejected
83,rleeson26,umothersdale6n,241618,16/07/2021,150530000,43066543,completed
84,mciccettifq,sratledge2u,487743,22/07/2021,8570000,42225432,completed
85,rshovelton9e,umothersdale6n,206993,05/09/2021,48780000,43066543,rejected
86,umothersdale6n,rleeson26,167367,25/09/2021,131740000,43066543,pending
87,umothersdale6n,ztavnerc4,472308,09/10/2021,10530000,43066543,completed
88,rleeson26,ztavnerc4,646927,18/10/2021,147920000,42085670,rejected
89,rshovelton9e,rleeson26,898696,07/11/2021,132980000,42085670,in_escrow
90,umothersdale6n,mciccettifq,571569,09/11/2021,112600000,42225432,cancelled
91,drossonbl,mciccettifq,165070,16/11/2021,560450000,43066543,rejected
92,drossonbl,ztavnerc4,946593,27/11/2021,349580000,42481098,completed
93,drossonbl,rleeson26,501342,04/12/2021,247450000,43066543,rejected
94,drossonbl,mciccettifq,400716,15/12/2021,112230000,42085670,rejected
95,mciccettifq,rleeson26,818103,16/12/2021,16060000,42481098,cancelled
96,rshovelton9e,mciccettifq,760201,16/01/2022,22460000,43066543,in_escrow
97,mciccettifq,mciccettifq,824008,23/01/2022,118170000,42481098,completed
98,rleeson26,rleeson26,662248,16/02/2022,27190000,42085670,rejected
99,rshovelton9e,sratledge2u,806498,24/02/2022,1004310000,42225432,rejected
100,sratledge2u,rleeson26,948652,19/03/2022,17790000,43066543,rejected
101,drossonbl,umothersdale6n,457352,26/03/2022,77870000,42085670,pending
102,mciccettifq,dcobden31,154982,02/04/2022,62740000,42085670,rejected
103,dcobden31,aedsall1o,662435,21/04/2022,67570000,42085670,rejected
104,rleeson26,drossonbl,986603,05/05/2022,15810000,42085670,completed
105,umothersdale6n,rleeson26,353033,06/05/2022,204810000,42481098,completed
106,drossonbl,rleeson26,499072,07/05/2022,32370000,42481098,rejected
107,rleeson26,umothersdale6n,595463,18/06/2022,264890000,42225432,rejected
108,rleeson26,drossonbl,639722,16/07/2022,14220000,42481098,completed
109,mciccettifq,mciccettifq,486418,23/07/2022,42960000,42225432,completed
110,umothersdale6n,drossonbl,588162,03/08/2022,736880000,42481098,pending
111,mciccettifq,mciccettifq,739370,08/08/2022,791330000,43066543,rejected
112,drossonbl,rleeson26,450010,18/10/2022,146890000,42225432,cancelled
113,rleeson26,sratledge2u,565145,23/11/2022,120060000,42085670,cancelled
114,rleeson26,rleeson26,473781,26/12/2022,18970000,42085670,completed
115,rleeson26,rleeson26,982508,07/01/2023,126080000,43066543,pending
116,drossonbl,drossonbl,973999,11/02/2023,254390000,42085670,in_escrow
117,rshovelton9e,rleeson26,717920,14/02/2023,15560000,43066543,in_escrow
118,mciccettifq,rleeson26,932347,15/02/2023,131380000,42481098,pending
119,umothersdale6n,drossonbl,335024,22/03/2023,75680000,42481098,rejected
120,rleeson26,rleeson26,517582,05/04/2023,34760000,43066543,completed
121,rleeson26,sratledge2u,273988,14/05/2023,162930000,42225432,rejected
122,mciccettifq,rleeson26,620574,11/07/2023,63860000,42085670,rejected
123,rshovelton9e,mciccettifq,517511,21/07/2023,72040000,43066543,cancelled
124,mciccettifq,rleeson26,906139,23/08/2023,54440000,42085670,rejected
125,umothersdale6n,drossonbl,474997,07/10/2023,489980000,43066543,pending
126,sratledge2u,mciccettifq,106915,15/11/2023,524730000,42225432,rejected
127,mciccettifq,rleeson26,554243,17/11/2023,33510000,43066543,completed
128,rshovelton9e,sratledge2u,697882,07/12/2023,31480000,42225432,rejected
129,mciccettifq,mciccettifq,671953,09/12/2023,110590000,42085670,cancelled
130,rleeson26,umothersdale6n,702887,12/01/2024,123490000,42481098,rejected
131,drossonbl,mciccettifq,948318,25/01/2024,54130000,43066543,pending
132,drossonbl,umothersdale6n,241096,02/02/2024,12030000,42225432,pending
133,rleeson26,mciccettifq,924264,21/04/2024,60640000,42225432,rejected
134,mciccettifq,sratledge2u,214320,23/04/2024,1620000,43066543,rejected
135,umothersdale6n,mciccettifq,551556,28/04/2024,112060000,42225432,completed
136,sratledge2u,umothersdale6n,732499,26/05/2024,91330000,43066543,completed
137,umothersdale6n,drossonbl,154907,16/06/2024,55510000,42481098,completed
138,drossonbl,umothersdale6n,117100,12/07/2024,75530000,43066543,rejected
139,dcobden31,drossonbl,555363,06/08/2024,11900000,42481098,rejected
140,rshovelton9e,sratledge2u,184265,08/09/2024,232560000,42085670,completed
141,drossonbl,rleeson26,730604,25/09/2024,153800000,43066543,pending
142,dcobden31,drossonbl,313146,02/10/2024,24310000,42481098,in_escrow
143,rshovelton9e,ztavnerc4,454129,05/12/2024,10030000,42225432,cancelled
144,rleeson26,rleeson26,486668,08/12/2024,63070000,43066543,in_escrow
145,rshovelton9e,rleeson26,635353,24/12/2024,99090000,42225432,completed
146,dcobden31,umothersdale6n,823173,02/02/2025,454050000,42085670,completed
147,rleeson26,umothersdale6n,378209,05/02/2025,128180000,42085670,completed
148,dcobden31,drossonbl,130552,22/02/2025,40430000,42481098,in_escrow
149,rleeson26,umothersdale6n,961166,28/02/2025,20140000,43066543,rejected
150,dcobden31,rleeson26,726628,14/03/2025,209110000,42481098,pending
151,umothersdale6n,umothersdale6n,506486,22/03/2025,103640000,42481098,rejected
152,rleeson26,dcobden31,924261,09/04/2025,69850000,42085670,completed
153,rleeson26,dcobden31,451168,22/04/2025,143870000,43066543,rejected
154,rleeson26,rleeson26,133715,17/05/2025,357430000,42085670,cancelled
155,sratledge2u,umothersdale6n,486387,17/05/2025,33360000,43066543,pending
156,umothersdale6n,rleeson26,148885,27/05/2025,147000000,42225432,completed
157,mciccettifq,drossonbl,384951,07/06/2025,93440000,43066543,pending
158,rleeson26,rleeson26,964820,10/08/2025,107700000,42085670,in_escrow
159,rleeson26,mciccettifq,790040,21/08/2025,441910000,42085670,rejected
160,rleeson26,aedsall1o,997928,25/08/2025,425500000,42481098,completed
161,rshovelton9e,ztavnerc4,381280,05/09/2025,109300000,42225432,rejected
162,drossonbl,ztavnerc4,736547,09/10/2025,502190000,42085670,cancelled
163,rshovelton9e,rleeson26,800917,12/10/2025,407690000,42481098,rejected
164,umothersdale6n,ztavnerc4,189233,02/11/2025,20450000,42085670,completed
165,rshovelton9e,rleeson26,132849,21/11/2025,17460000,42225432,completed
166,mciccettifq,rleeson26,640535,26/11/2025,45120000,43066543,rejected
